time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002689,0.1918,0.053,-0.5806,0.614
0.003017,0.1355,0.0171,-0.5235,0.541
0.024907,0.0232,0.0299,-0.5101,0.512
0.025399,-0.0646,-0.0373,-0.4928,0.498
0.025582,-0.1711,-0.0653,-0.4667,0.501
0.025723,-0.268,-0.1018,-0.4416,0.527
0.025857,-0.2939,-0.1045,-0.3556,0.473
0.029003,-0.3109,-0.1071,-0.2089,0.39
0.033737,-0.3193,-0.1148,-0.0444,0.342
0.038932,-0.3381,-0.1088,0.1948,0.405
0.043354,-0.3583,-0.0472,0.5463,0.655
0.048245,-0.3225,0.0218,0.8862,0.943
0.052808,-0.2636,0.0312,1.0634,1.096
0.063767,-0.2098,0.0052,1.122,1.141
0.064292,-0.1701,0.0013,1.082,1.095
0.06774,-0.1772,0.01,0.9679,0.984
0.071908,-0.1925,0.0838,0.8419,0.868
0.078025,-0.2827,0.156,0.661,0.736
0.083563,-0.3521,0.2508,0.4395,0.616
0.086087,-0.4013,0.3019,0.2108,0.545
0.090672,-0.3452,0.324,0.0365,0.475
0.095577,-0.2796,0.3269,-0.1269,0.449
0.100529,-0.186,0.3206,-0.2842,0.467
0.122609,-0.1269,0.3572,-0.3598,0.523
0.12297,-0.1262,0.408,-0.4733,0.638
0.123107,-0.1315,0.4303,-0.5533,0.713
0.12323,-0.1478,0.4386,-0.6476,0.796
0.124976,-0.0607,0.3951,-0.7609,0.86
0.128682,0.053,0.3194,-0.7981,0.861
0.133224,0.1509,0.2592,-0.8736,0.924
0.138205,0.2093,0.2669,-0.94,0.999
0.143323,0.1667,0.2754,-0.9687,1.021
0.147736,0.152,0.2992,-1.0363,1.089
0.15233,0.1556,0.305,-1.0665,1.12
0.156774,0.1873,0.2455,-1.05,1.094
0.164355,0.2848,0.1924,-0.9965,1.054
0.166783,0.3293,0.1312,-0.9015,0.969
0.171188,0.3448,0.1188,-0.7415,0.826
0.181816,0.3313,0.1547,-0.5835,0.689
0.18222,0.2934,0.1577,-0.4274,0.542
0.185538,0.2552,0.1801,-0.2683,0.412
0.19008,0.2739,0.1739,-0.0918,0.337
0.194623,0.2927,0.1582,0.0645,0.339
0.199969,0.2878,0.1613,0.2341,0.405
0.204565,0.3115,0.2163,0.3598,0.523
0.209529,0.2403,0.2231,0.4848,0.585
0.214338,0.1561,0.2816,0.5903,0.672
0.218568,0.0873,0.3059,0.6575,0.73
0.22361,0.058,0.282,0.7248,0.78
0.228875,0.092,0.2577,0.745,0.794
0.232631,0.1033,0.2613,0.8228,0.869
0.238321,0.1206,0.2595,0.8772,0.923
0.242477,0.1007,0.3139,0.8702,0.931
0.248097,0.0439,0.3102,0.8213,0.879
0.252175,0.0405,0.2917,0.7165,0.775
0.256688,0.0614,0.2491,0.6274,0.678
0.261271,0.2632,0.0787,0.4396,0.518
0.265951,0.3129,0.0806,0.2584,0.414
0.270508,0.1733,0.1677,0.2311,0.334
0.275015,-0.0454,0.2584,0.1853,0.321
0.281053,-0.1583,0.3195,0.1307,0.38
0.285701,-0.2,0.2374,0.0622,0.317
0.293338,-0.1521,0.1461,-0.0009,0.211
0.294676,-0.0719,0.0741,-0.0871,0.135
0.299075,0.0024,0.0026,-0.1679,0.168
0.303705,-0.0196,0.0739,-0.2339,0.246
0.308568,-0.0707,0.1921,-0.3375,0.395
0.313384,-0.1747,0.2526,-0.4218,0.522
0.317988,-0.1932,0.237,-0.4916,0.579
0.3233,-0.1125,0.1461,-0.5423,0.573
0.327704,0.0291,0.0898,-0.5646,0.572
0.332338,0.0794,0.1388,-0.5822,0.604
0.337381,0.039,0.1735,-0.4957,0.527
0.342646,0.0034,0.1989,-0.4149,0.46
0.346688,-0.0277,0.2195,-0.3303,0.398
0.351499,0.0171,0.1974,-0.2371,0.309
0.355971,0.0712,0.1755,-0.1875,0.266
0.36037,0.1491,0.1348,-0.138,0.244
0.36568,0.1367,0.1562,-0.0604,0.216
0.372328,0.0963,0.1772,0.0358,0.205
0.375219,0.0517,0.2215,0.084,0.242
0.379945,0.0217,0.2131,0.1177,0.244
0.385038,0.1202,0.1338,0.0276,0.182
0.392907,0.0905,0.1643,-0.0236,0.189
0.3941,0.0475,0.1946,0.016,0.201
0.398579,-0.0232,0.2767,0.0554,0.283
0.403587,-0.0933,0.3389,0.1611,0.387
0.408348,-0.1204,0.3669,0.2282,0.449
0.413006,-0.0715,0.2518,0.2619,0.37
0.417819,0.0479,0.1799,0.2053,0.277
0.422398,0.1524,0.118,0.1162,0.225
0.427311,0.1804,0.1276,0.0374,0.224
0.432239,0.061,0.1702,0.045,0.186
0.436636,-0.0673,0.2311,0.0241,0.242
0.441588,-0.0764,0.22,-0.0156,0.233
0.446136,0.0185,0.1377,-0.0882,0.165
0.451667,0.1268,0.0753,-0.241,0.283
0.455744,0.1679,0.0564,-0.35,0.392
0.460134,0.109,0.0571,-0.4299,0.447
0.465103,0.0076,0.1434,-0.4145,0.439
0.470893,-0.0793,0.1675,-0.3947,0.436
0.474279,-0.0096,0.1251,-0.3848,0.405
0.4857,0.0685,0.0786,-0.4371,0.449
0.486321,0.155,0.0518,-0.456,0.484
0.488682,0.1552,0.0541,-0.4845,0.512
0.493681,0.093,0.161,-0.404,0.445
0.498179,0.0307,0.2101,-0.3148,0.38
0.502834,0.0488,0.1733,-0.2408,0.301
0.507643,0.2324,0.0184,-0.2388,0.334
0.512235,0.2439,0.0974,-0.1656,0.31
0.516837,0.1131,0.147,-0.0453,0.191
0.522297,0.0262,0.2196,0.0125,0.222
0.526641,-0.0552,0.2247,0.075,0.243
0.531637,-0.0744,0.2009,0.1182,0.245
0.536316,0.0108,0.139,0.1233,0.186
0.540751,0.1099,0.1105,0.0859,0.178
0.545831,0.1709,0.125,0.0395,0.215
0.550797,0.118,0.1772,-0.0015,0.213
0.554662,0.0563,0.21,-0.0422,0.221
0.55923,0.0523,0.2046,-0.0587,0.219
0.564576,0.1433,0.1471,-0.113,0.234
0.569346,0.2718,0.1093,-0.1908,0.35
0.574363,0.3283,0.1102,-0.2823,0.447
0.581055,0.3227,0.1588,-0.3021,0.47
0.583763,0.2553,0.2405,-0.3171,0.473
0.588026,0.2069,0.2456,-0.3085,0.445
0.592581,0.2579,0.1798,-0.3856,0.498
0.597639,0.3313,0.1102,-0.4911,0.603
0.602456,0.3799,0.1367,-0.5819,0.708
0.607264,0.347,0.1778,-0.663,0.769
0.612021,0.2474,0.2429,-0.6917,0.774
0.616922,0.2386,0.2181,-0.6829,0.756
0.621419,0.3487,0.1425,-0.7269,0.819
0.626169,0.2451,0.1918,-0.6762,0.744
0.630599,0.1855,0.2462,-0.5931,0.668
0.635121,0.146,0.2865,-0.5204,0.612
0.640366,0.1546,0.2703,-0.4202,0.523
0.645292,0.3061,0.1507,-0.4021,0.527
0.651153,0.2436,0.1985,-0.2939,0.43
0.654568,0.1538,0.2271,-0.2057,0.343
0.659173,0.1079,0.2651,-0.1512,0.324
0.664038,0.034,0.2647,-0.1542,0.308
0.668616,0.06,0.1886,-0.2284,0.302
0.673611,0.0615,0.1608,-0.269,0.319
0.67852,-0.0466,0.1427,-0.2999,0.335
0.683024,-0.0919,0.1721,-0.2829,0.344
0.693006,-0.1989,0.2627,-0.2422,0.409
0.693655,-0.2354,0.3142,-0.2018,0.441
0.697093,-0.2165,0.2843,-0.2379,0.429
0.701995,-0.1992,0.2024,-0.3307,0.436
0.706727,-0.0269,0.0791,-0.5611,0.567
0.711256,-0.0607,0.0903,-0.6809,0.69
0.715744,-0.2036,0.2204,-0.667,0.731
0.720632,-0.3174,0.2929,-0.6156,0.752
0.725714,-0.2937,0.228,-0.5701,0.681
0.73043,-0.2711,0.2023,-0.5302,0.629
0.735734,-0.3013,0.2345,-0.3773,0.537
0.740309,-0.3077,0.2573,-0.2257,0.46
0.744838,-0.2947,0.2801,-0.0612,0.411
0.74942,-0.3195,0.2408,0.1259,0.419
0.754087,-0.3104,0.1827,0.2642,0.447
0.762263,-0.2724,0.1294,0.3781,0.484
0.764611,-0.277,0.0714,0.4867,0.565
0.776476,-0.2476,0.0369,0.5475,0.602
0.777183,-0.27,0.0305,0.5942,0.653
0.777674,-0.2439,0.0424,0.6175,0.665
0.782253,-0.2885,0.0437,0.6841,0.744
0.787547,-0.3129,0.0437,0.7368,0.802
0.79249,-0.3032,0.0329,0.7473,0.807
0.796102,-0.2883,0.0304,0.7207,0.777
0.801147,-0.316,0.0125,0.6808,0.751
0.807402,-0.3247,-0.0207,0.585,0.669
0.811142,-0.3097,-0.0875,0.4573,0.559
0.816036,-0.2143,-0.1634,0.2263,0.352
0.82067,-0.2425,-0.1109,0.1257,0.295
0.825296,-0.2892,0.017,0.083,0.301
0.830061,-0.3496,0.0155,-0.0257,0.351
0.835068,-0.3953,0.0187,-0.1287,0.416
0.839719,-0.3792,-0.0254,-0.0126,0.38
0.844292,-0.3159,-0.0551,0.0694,0.328
0.849211,-0.2339,-0.0086,0.0369,0.237
0.853903,-0.2094,-0.0195,-0.0381,0.214
0.858959,-0.2513,-0.0208,-0.0933,0.269
0.863977,-0.2647,-0.0079,-0.1577,0.308
0.880017,-0.236,0.0241,-0.2217,0.325
0.881173,-0.071,-0.0241,-0.3758,0.383
0.881358,-0.1309,0.0521,-0.4627,0.484
0.882307,-0.3139,0.1563,-0.4256,0.551
0.886553,-0.4394,0.2126,-0.3701,0.613
0.892206,-0.4233,0.2356,-0.439,0.654
0.89618,-0.2952,0.2302,-0.4222,0.564
0.900716,-0.2411,0.2061,-0.3584,0.479
0.905652,-0.1321,0.1873,-0.3572,0.424
0.910329,-0.0822,0.1975,-0.38,0.436
0.914685,-0.0857,0.2032,-0.3553,0.418
0.919969,-0.1137,0.1424,-0.3642,0.407
0.924916,-0.1276,0.182,-0.2971,0.371
0.929605,-0.0684,0.2444,0.0879,0.269
0.934512,0.1272,0.2627,0.7508,0.806
0.939066,0.2813,0.1612,1.1718,1.216
0.94379,0.3609,0.0735,1.4765,1.522
0.948794,0.4247,0.0893,1.7183,1.772
0.953191,0.4209,0.1887,1.7886,1.847
0.957615,0.2636,0.3287,1.6364,1.69
0.9626,0.1001,0.452,1.4057,1.48
0.971163,-0.023,0.5683,1.2204,1.346
0.972198,-0.0552,0.5871,1.0734,1.225
0.992686,-0.1267,0.5477,0.8218,0.996
0.99375,-0.2284,0.546,0.5229,0.79
0.993944,-0.3608,0.4816,0.3584,0.7
0.994143,-0.4813,0.431,0.2802,0.704
0.99554,-0.437,0.3318,0.2597,0.607
1.000313,-0.2999,0.0835,0.407,0.512
1.005185,-0.4807,0.0543,0.2964,0.567
1.010004,-0.5583,0.072,0.1816,0.592
1.015072,-0.5188,0.0841,0.1532,0.547
1.019489,-0.4389,0.0713,0.1779,0.479
1.024274,-0.5666,0.1582,0.0691,0.592
1.028656,-0.6291,0.3641,-0.1111,0.735
1.033687,-0.4635,0.3929,-0.3629,0.708
1.038077,-0.2519,0.3601,-0.5047,0.669
1.043093,-0.2185,0.4139,-0.5797,0.745
1.047948,-0.3635,0.5543,-0.4924,0.826
1.053337,-0.4711,0.6422,-0.3863,0.885
1.058266,-0.4976,0.5962,-0.3184,0.839
1.061881,-0.4806,0.5594,-0.3028,0.797
1.06961,-0.3868,0.5032,-0.2725,0.691
1.071627,-0.2546,0.3844,-0.1222,0.477
1.088459,-0.1276,0.3126,0.0524,0.342
1.0894,-0.0918,0.2255,0.2037,0.318
1.089668,-0.0852,0.1518,0.3462,0.387
1.090456,-0.0842,0.1246,0.4416,0.466
1.095229,-0.1447,0.1334,0.5246,0.56
1.100293,-0.1096,0.0978,0.6128,0.63
1.10467,-0.1213,0.1226,0.6683,0.69
1.109362,0.0248,0.0465,0.6674,0.669
1.114302,0.0044,0.0747,0.5336,0.539
1.118577,0.1242,-0.0076,0.3814,0.401
1.123729,0.4315,-0.1762,0.3015,0.555
1.128539,0.5149,-0.1966,0.3128,0.634
1.13359,0.3651,-0.1405,0.1332,0.413
1.138181,0.4508,-0.2326,0.0399,0.509
1.143151,0.7193,-0.3911,-0.0055,0.819
1.147307,0.9886,-0.5588,0.1212,1.142
1.151952,0.8007,-0.5826,0.0805,0.994
1.157032,0.4824,-0.4771,0.0111,0.679
1.162219,0.1059,-0.2137,-0.1348,0.274
1.166136,0.1389,-0.0838,-0.1709,0.236
1.171326,0.671,-0.2213,0.0795,0.711
1.178354,1.1754,-0.4924,0.4587,1.354
1.190693,0.626,-0.419,0.1827,0.775
1.191489,0.2667,-0.3022,-0.1124,0.418
1.191969,0.8452,-0.5248,0.3098,1.042
1.194436,0.5866,-0.3837,0.2918,0.759
1.198703,0.1184,-0.2473,0.0203,0.275
1.204259,0.6009,-0.5223,0.3994,0.891
1.209633,0.1208,-0.3576,0.4248,0.568
1.213745,0.3665,-0.6051,0.6325,0.949
1.218344,-0.1058,-0.3706,0.621,0.731
1.223267,0.0574,-0.4626,0.7254,0.862
1.227908,-0.1587,-0.3074,0.7495,0.825
1.232745,-0.1229,-0.3784,0.7413,0.841
1.237081,0.035,-0.5224,0.9112,1.051
1.243944,-0.3828,-0.371,0.6519,0.842
1.24686,-0.0808,-0.5217,0.69,0.869
1.255399,-0.4651,-0.3429,0.5425,0.793
1.258099,-0.4352,-0.3796,0.4385,0.725
1.260889,-0.1637,-0.5646,0.4928,0.767
1.265566,-0.5206,-0.4384,0.2031,0.71
1.270674,-0.4195,-0.527,0.1001,0.681
1.274607,-0.1574,-0.6388,0.0497,0.66
1.279616,-0.3125,-0.6066,-0.0486,0.684
1.284416,-0.2575,-0.7077,-0.0608,0.756
1.289252,-0.2795,-0.7604,-0.0252,0.811
1.294007,-0.1636,-0.8414,0.1345,0.868
1.298727,-0.2827,-0.8166,0.0503,0.866
1.303258,-0.2347,-0.7629,0.057,0.8
1.308451,-0.1774,-0.752,0.0925,0.778
1.312972,0.0135,-0.803,0.171,0.821
1.318025,0.0467,-0.825,0.3021,0.88
1.323636,-0.1727,-0.8752,0.2513,0.927
1.327275,-0.0666,-1.0205,0.2481,1.052
1.331775,0.422,-0.8879,0.3978,1.061
1.336525,0.4616,-0.4113,0.3658,0.718
1.341239,0.3689,0.0694,0.2815,0.469
1.346163,0.0343,0.1385,0.2547,0.292
1.351541,-0.3034,0.0545,0.2759,0.414
1.355089,-0.5057,-0.0437,0.2637,0.572
1.3599,-0.4442,-0.2376,0.4336,0.665
1.365176,-0.2196,-0.4079,0.6183,0.773
1.369866,0.0485,-0.5548,0.6745,0.875
1.383842,0.1551,-0.6065,0.5497,0.833
1.384334,0.1152,-0.5726,0.4352,0.728
1.384556,0.0103,-0.5009,0.3164,0.593
1.38863,-0.1405,-0.463,0.1694,0.513
1.393621,-0.2229,-0.4348,0.104,0.5
1.398501,-0.1751,-0.4306,0.101,0.476
1.403055,-0.1645,-0.4358,-0.0119,0.466
1.407851,-0.1483,-0.4454,-0.0674,0.474
1.41248,-0.141,-0.5121,-0.1518,0.552
1.41735,-0.1573,-0.559,-0.2747,0.642
1.422283,-0.1685,-0.6288,-0.4268,0.778
1.426739,-0.2752,-0.6737,-0.6559,0.98
1.432188,-0.1618,-0.7317,-0.7807,1.082
1.444736,-0.0962,-0.7932,-0.8824,1.19
1.44723,-0.0924,-0.7817,-0.9566,1.239
1.447686,0.1504,-0.8357,-1.0511,1.351
1.450755,0.3688,-1.0126,-0.9604,1.443
1.455072,0.0952,-0.9103,-1.0292,1.377
1.460184,0.0189,-0.8447,-1.0474,1.346
1.464525,0.2493,-0.8443,-0.9,1.259
1.469047,0.1358,-0.7703,-0.9749,1.25
1.473924,0.4102,-0.8762,-0.9179,1.334
1.478856,0.3887,-0.8224,-0.9443,1.311
1.495159,0.359,-0.7859,-0.9969,1.319
1.495704,0.7611,-0.9865,-0.8653,1.517
1.495974,0.5186,-0.8503,-0.9608,1.384
1.49786,0.3923,-0.7311,-1.1164,1.391
1.502286,0.4395,-0.6046,-1.251,1.457
1.507249,0.6992,-0.8479,-1.2028,1.629
1.511741,0.6369,-0.7955,-1.3506,1.692
1.516149,0.7973,-0.6395,-1.5262,1.837
1.521301,0.6875,-0.4235,-1.5519,1.749
1.526183,0.3843,-0.2964,-1.4082,1.489
1.530932,0.2932,-0.277,-1.1286,1.199
1.53582,0.279,-0.3371,-0.703,0.828
1.540402,0.2411,-0.3817,-0.2885,0.536
1.545339,0.2562,-0.354,0.0295,0.438
1.5502,0.2476,-0.274,0.3285,0.494
1.554513,0.3203,-0.1947,0.5562,0.671
1.559285,0.3883,-0.1929,0.7609,0.876
1.564007,0.4183,-0.2402,0.9191,1.038
1.569766,0.6928,-0.4323,0.9593,1.26
1.573559,0.9671,-0.6644,1.2214,1.694
1.583935,0.772,-0.5732,1.3421,1.651
1.584324,0.2516,-0.1973,1.2163,1.258
1.58768,-0.14,0.0618,0.9587,0.971
1.592091,-0.2413,0.2427,0.8463,0.913
1.596791,-0.2109,0.1451,0.8359,0.874
1.602325,-0.1014,-0.0391,0.7692,0.777
1.61008,0.0019,-0.2141,0.6363,0.671
1.611481,0.0757,-0.3224,0.571,0.66
1.616035,0.0966,-0.3735,0.4918,0.625
1.620683,-0.0309,-0.3625,0.3554,0.509
1.625386,-0.2401,-0.3224,0.1759,0.439
1.630297,-0.3593,-0.1814,-0.0087,0.403
1.634637,-0.2591,-0.0825,-0.1462,0.309
1.639691,-0.1733,-0.3314,-0.323,0.494
1.644416,-0.3171,-0.478,-0.3338,0.664
1.649272,-0.2745,-0.5463,-0.3222,0.691
1.653939,-0.0929,-0.5172,-0.4414,0.686
1.658797,0.0369,-0.453,-0.5,0.676
1.663455,0.0768,-0.4828,-0.4214,0.645
1.668138,0.0651,-0.5591,-0.2773,0.627
1.672773,0.0114,-0.5576,-0.1296,0.573
1.677176,0.0736,-0.5982,-0.0116,0.603
1.682227,0.1509,-0.6427,0.1438,0.676
1.68716,0.2577,-0.6964,0.3896,0.839
1.69206,0.2081,-0.6591,0.5395,0.877
1.696581,0.1362,-0.6076,0.6322,0.887
1.701291,0.0706,-0.4991,0.6006,0.784
1.706132,0.0884,-0.3424,0.3634,0.507
1.710608,0.0701,-0.3242,0.1978,0.386
1.715236,0.0291,-0.3776,0.3672,0.528
1.720356,-0.0212,-0.4409,0.5655,0.717
1.725201,-0.0722,-0.5428,0.7165,0.902
1.730195,-0.1189,-0.5398,0.7627,0.942
1.734825,-0.1803,-0.5325,0.776,0.958
1.739461,-0.1896,-0.5115,0.8044,0.972
1.744375,-0.2761,-0.4721,0.824,0.989
1.748695,-0.378,-0.448,0.7776,0.974
1.753561,-0.3521,-0.4439,0.694,0.896
1.757905,-0.4047,-0.455,0.6113,0.863
1.763182,-0.3925,-0.4382,0.5678,0.818
1.769959,-0.4152,-0.47,0.5491,0.834
1.772431,-0.5266,-0.5742,0.4928,0.922
1.783601,-0.4207,-0.5976,0.4038,0.835
1.784121,-0.3934,-0.5932,0.3825,0.808
1.786628,-0.3867,-0.599,0.4192,0.827
1.791527,-0.3576,-0.6197,0.466,0.854
1.795875,-0.1578,-0.5933,0.4942,0.788
1.801037,-0.012,-0.5435,0.5181,0.751
1.805546,0.0471,-0.5183,0.5281,0.741
1.810495,0.1486,-0.4601,0.5338,0.72
1.815473,0.2356,-0.4598,0.5493,0.754
1.820438,0.3321,-0.5221,0.5796,0.848
1.824649,0.3999,-0.6182,0.6341,0.972
1.829287,0.4156,-0.6718,0.5983,0.991
1.834453,0.3603,-0.6252,0.5149,0.886
1.838551,0.3393,-0.531,0.4748,0.789
1.843688,0.2614,-0.4227,0.4875,0.696
1.848969,0.1649,-0.3675,0.5386,0.673
1.853377,0.1307,-0.3318,0.5709,0.673
1.858109,0.0773,-0.3061,0.5796,0.66
1.862717,0.0186,-0.3384,0.5887,0.679
1.870792,-0.0647,-0.3328,0.5694,0.663
1.872344,-0.1198,-0.3372,0.5315,0.641
1.887049,-0.1707,-0.3325,0.4605,0.593
1.8876,-0.2172,-0.3855,0.3707,0.577
1.887835,-0.2358,-0.3956,0.2238,0.512
1.890928,-0.2312,-0.4391,0.1106,0.508
1.89562,-0.2129,-0.4825,0.0165,0.528
1.900828,-0.2382,-0.5018,-0.0202,0.556
1.905184,-0.2639,-0.5161,-0.0139,0.58
1.909932,-0.3233,-0.5255,0.0065,0.617
1.914612,-0.3594,-0.549,0.0316,0.657
1.918937,-0.3291,-0.5819,0.0613,0.671
1.924169,-0.2467,-0.6244,0.1149,0.681
1.928806,-0.1597,-0.5999,0.1351,0.635
1.934325,-0.1495,-0.5755,0.1073,0.604
1.938381,-0.1297,-0.5461,0.0699,0.566
1.943234,-0.1098,-0.4973,0.0228,0.51
1.947998,-0.1377,-0.5152,-0.0053,0.533
1.952458,-0.1989,-0.4945,-0.0194,0.533
1.957249,-0.2601,-0.521,-0.0339,0.583
1.962309,-0.307,-0.4944,-0.0345,0.583
1.969688,-0.349,-0.5102,-0.0212,0.619
1.971617,-0.2808,-0.5017,0.0492,0.577
1.986689,-0.2125,-0.4404,0.1432,0.51
1.987479,-0.1536,-0.4414,0.2753,0.542
1.987666,-0.1184,-0.4137,0.3549,0.558
1.990422,-0.1068,-0.4199,0.4106,0.597
1.994747,-0.09,-0.4599,0.4667,0.661
1.999298,-0.0539,-0.4384,0.547,0.703
2.004708,-0.0558,-0.3795,0.6231,0.732
2.009552,-0.043,-0.3547,0.6614,0.752
2.014178,-0.0634,-0.3356,0.662,0.745
2.018908,0.1411,-0.1915,0.6869,0.727
2.023562,0.663,0.0218,0.6125,0.903
2.028595,0.6837,-0.0283,0.5202,0.86
2.032973,0.5877,-0.0357,0.5192,0.785
2.038017,0.4374,-0.0008,0.5755,0.723
2.042943,0.3281,-0.0093,0.6838,0.759
2.047462,0.2644,-0.0943,0.73,0.782
2.052109,0.2318,-0.1178,0.8002,0.841
2.059189,0.2066,-0.1514,0.8278,0.867
2.061626,0.1456,-0.1905,0.818,0.852
2.066595,0.0342,-0.1969,0.8375,0.861
2.070864,-0.0424,-0.2517,0.8575,0.895
2.079012,-0.066,-0.3021,0.8401,0.895
2.08092,-0.0562,-0.4051,0.757,0.86
2.094943,-0.0893,-0.465,0.6182,0.779
2.095675,-0.1933,-0.4964,0.4572,0.702
2.095862,-0.2968,-0.5137,0.3073,0.668
2.099325,-0.3668,-0.5833,0.2158,0.722
2.104096,-0.4084,-0.6284,0.0918,0.755
2.108819,-0.4459,-0.6729,-0.0551,0.809
2.113568,-0.4745,-0.7261,-0.1678,0.883
2.118447,-0.4944,-0.7737,-0.2229,0.945
2.122967,-0.4438,-0.8444,-0.254,0.987
2.127881,-0.3664,-0.9475,-0.2756,1.053
2.132672,-0.2718,-0.9828,-0.3496,1.078
2.137638,-0.2786,-0.965,-0.4424,1.098
2.142434,-0.3096,-0.8944,-0.4591,1.052
2.146851,-0.2982,-0.8237,-0.4525,0.986
2.151473,-0.2732,-0.8381,-0.4419,0.986
2.155848,-0.225,-0.8321,-0.494,0.994
2.160805,-0.2246,-0.8201,-0.5325,1.003
2.165766,-0.2667,-0.7879,-0.5194,0.981
2.170458,-0.2798,-0.7879,-0.46,0.954
2.176081,-0.2879,-0.839,-0.3307,0.947
2.186915,-0.2578,-0.8648,-0.2792,0.945
2.187547,-0.3084,-0.8798,-0.2101,0.956
2.189209,-0.4061,-0.8556,-0.09,0.951
2.194275,-0.4982,-0.8688,0.0522,1.003
2.199133,-0.5516,-0.8578,0.2214,1.044
2.203724,-0.5575,-0.894,0.3653,1.115
2.209002,-0.5642,-0.8825,0.5745,1.195
2.213234,-0.6339,-0.8572,0.7821,1.322
2.217925,-0.6385,-0.8324,0.8979,1.381
2.222599,-0.6076,-0.8648,0.8703,1.369
2.227608,-0.6256,-0.8359,0.9193,1.391
2.232531,-0.6205,-0.8316,0.9683,1.419
2.2363,-0.6305,-0.8329,1.027,1.465
2.241782,-0.6268,-0.8588,1.1096,1.537
2.246302,-0.6238,-0.8855,1.1257,1.562
2.250949,-0.5593,-0.894,1.1376,1.551
2.255796,-0.5332,-0.8987,1.1265,1.537
2.260633,-0.5496,-0.8901,1.1019,1.519
2.265288,-0.5463,-0.8587,1.0877,1.49
2.269937,-0.4381,-0.7571,1.0837,1.393
2.274569,-0.2355,-0.7282,1.0564,1.305
2.286814,-0.0245,-0.6761,0.9063,1.131
2.287313,0.1759,-0.6483,0.767,1.02
2.288799,0.2423,-0.5398,0.6193,0.857
2.293534,0.2944,-0.4747,0.5011,0.75
2.298369,0.3131,-0.4098,0.4692,0.697
2.303197,0.3605,-0.44,0.3992,0.695
2.308124,0.3886,-0.479,0.3866,0.728
2.312481,0.2841,-0.4747,0.3691,0.665
2.316993,0.1997,-0.489,0.3943,0.659
2.322095,0.1497,-0.5317,0.4667,0.723
2.326799,0.1381,-0.5834,0.4672,0.76
2.331233,0.1169,-0.6535,0.425,0.788
2.336204,0.0623,-0.6375,0.3877,0.749
2.340954,-0.0781,-0.5836,0.4408,0.736
2.345611,-0.1141,-0.5115,0.5363,0.75
2.350222,-0.1414,-0.5638,0.617,0.848
2.354647,-0.1083,-0.583,0.6119,0.852
2.359723,-0.1054,-0.6357,0.569,0.86
2.364663,-0.1277,-0.6172,0.56,0.843
2.369846,-0.1511,-0.5756,0.5987,0.844
2.373889,-0.1231,-0.5775,0.6326,0.865
2.387848,-0.0297,-0.5987,0.6189,0.862
2.388412,0.0482,-0.6056,0.5675,0.831
2.38862,0.0445,-0.6125,0.4974,0.79
2.392725,0.0793,-0.5431,0.4706,0.723
2.397305,0.1431,-0.4977,0.5055,0.724
2.402551,0.2454,-0.533,0.5541,0.807
2.407405,0.3296,-0.5106,0.5879,0.846
2.412174,0.3862,-0.4739,0.5882,0.848
2.417022,0.3821,-0.4134,0.6168,0.835
2.421568,0.3792,-0.3582,0.6356,0.822
2.427904,0.406,-0.3791,0.6021,0.819
2.431257,0.405,-0.4281,0.5734,0.822
2.436148,0.338,-0.4243,0.5117,0.746
2.440278,0.1863,-0.425,0.474,0.663
2.445034,0.1118,-0.4066,0.5031,0.656
2.450282,0.1375,-0.4027,0.5177,0.67
2.454536,0.1293,-0.4843,0.5322,0.731
2.459238,0.1682,-0.4941,0.5229,0.739
2.463928,0.1778,-0.4756,0.5707,0.764
2.469668,0.1962,-0.3911,0.642,0.777
2.473371,0.2235,-0.4076,0.7511,0.883
2.477908,0.231,-0.4199,0.7791,0.915
2.487943,0.1998,-0.4803,0.7693,0.929
2.488706,0.1017,-0.4934,0.7315,0.888
2.492491,0.089,-0.4832,0.7371,0.886
2.497291,0.0188,-0.4644,0.7573,0.889
2.502176,0.0196,-0.4844,0.7778,0.917
2.507014,0.0245,-0.5192,0.7179,0.886
2.511514,0.0524,-0.521,0.6446,0.83
2.516424,0.0271,-0.4805,0.5579,0.737
2.521196,-0.0174,-0.4548,0.4957,0.673
2.526126,0.014,-0.4534,0.4343,0.628
2.530579,0.0687,-0.4803,0.2975,0.569
2.535315,0.0942,-0.5068,0.1663,0.542
2.540124,0.0958,-0.4947,0.0502,0.506
2.544647,0.0787,-0.4773,-0.0368,0.485
2.549263,0.081,-0.4642,-0.0903,0.48
2.554274,0.155,-0.5074,-0.1581,0.554
2.558598,0.1865,-0.5589,-0.2258,0.631
2.563754,0.157,-0.5759,-0.2128,0.634
2.569671,0.1287,-0.5349,-0.21,0.589
2.573118,0.0924,-0.5267,-0.1318,0.551
2.586378,0.1287,-0.5132,-0.045,0.531
2.587005,0.1467,-0.5421,-0.0209,0.562
2.587288,0.1415,-0.5607,-0.0211,0.579
2.592578,0.0611,-0.4933,-0.0216,0.498
2.596699,0.0053,-0.4167,0.0537,0.42
2.601537,0.0024,-0.4168,0.1475,0.442
2.606277,-0.0195,-0.4833,0.212,0.528
2.611053,-0.0368,-0.4877,0.1858,0.523
