Channel,Mean_ms2,Std_ms2,RMS_ms2,Max_ms2,Min_ms2,P95_ms2,P05_ms2
Vertical (no g),5.26181556638136e-16,4.73188711419371,4.7318607910538,387.799336327879,-5.01583607212147,6.98750352787853,-3.78019817212147
Lateral,-0.0340799335652696,4.6133486962882,4.61344890994813,338.49809938,-112.440106905,5.71139296,-5.749638895
Longitudinal,0.196816141008445,3.85287760431779,3.85787989290835,74.135332005,-44.831100475,6.022263765,-5.12691662
Vert LP,1.38756377085621e-05,4.06274183973834,4.06271923902807,80.496948324179,-4.66524927731979,6.45121190807482,-3.21890628900486
Lat LP,-0.0340861883188142,3.23422036138223,3.23438198673233,55.9602748616358,-84.6575220767754,3.75168492378374,-3.96439795532137
Lon LP,0.196930017072101,3.1391896057253,3.1453430930153,36.4857681722023,-28.8346911397871,5.17712453081754,-4.26831917142145
Vert HP,-3.38956225466566e-05,2.67092536237799,2.67091050443177,343.696261432217,-34.2465692903781,2.91695035439103,-2.9830110416857
Lat HP,-3.26792042792069e-05,3.56171990470451,3.56170009126863,332.593555476612,-110.019938652882,4.95087407802129,-4.87901809431001
